DNA/TcMar-Tc1	654	111379	0.00
LTR/ERVL-MaLR	360016	115745905	3.61
DNA/hAT-Blackjack	20140	3503477	0.11
DNA?/PiggyBac?	301	43670	0.00
Satellite/centr	2717	73582813	2.29
Retroposon/SVA	5827	4475071	0.14
LTR/ERV1?	1580	295938	0.01
SINE/tRNA-Deu	671	68274	0.00
LTR/ERVK	11421	9674518	0.30
LINE/Dong-R4	564	122020	0.00
LINE/L2	534592	115120085	3.59
DNA/TcMar-Tc2	8295	1717141	0.05
LTR/ERVL	168561	59920359	1.87
LINE/L1	978523	536111998	16.71
SINE/MIR	611412	87678939	2.73
DNA/hAT-Tag1	2403	556422	0.02
rRNA	1861	253467	0.01
RC?/Helitron?	435	65685	0.00
SINE?/tRNA	6	310	0.00
Satellite	4666	4409516	0.14
LTR/ERVL?	3989	964830	0.03
DNA/hAT	9155	1230393	0.04
DNA/TcMar-Mariner	16702	2924792	0.09
DNA?	3558	474912	0.01
LINE/L1-Tx1	187	51008	0.00
Satellite/telo	449	304894	0.01
Unknown	6523	982325	0.03
DNA/TcMar?	170	32672	0.00
LINE/RTE-X	15830	3715745	0.12
DNA/Kolobok	235	43860	0.00
LTR	8101	1709225	0.05
scRNA	1931	201830	0.01
DNA	6590	968966	0.03
snRNA	4537	360050	0.01
SINE/Alu	1238490	321968603	10.03
SINE/5S-Deu-L2	2633	282183	0.01
LINE/Jockey	227	24368	0.00
DNA/Merlin	56	17756	0.00
DNA/hAT-Tip100	54711	10290374	0.32
LINE/RTE-BovB	9077	1322754	0.04
LTR/Gypsy	18238	4039005	0.13
DNA/hAT-Charlie	271698	49015834	1.53
DNA/hAT-Ac	5742	804050	0.03
SINE/tRNA-RTE	5945	755206	0.02
DNA/PiggyBac	2189	518808	0.02
DNA/hAT-Tip100?	2437	386413	0.01
LINE/Penelope	1123	100561	0.00
Satellite/acro	86	65228	0.00
DNA/PIF-Harbinger	31	1771	0.00
DNA/MULE-MuDR	2024	733399	0.02
srpRNA	1428	269537	0.01
DNA?/hAT-Tip100?	524	127438	0.00
RC/Helitron	1822	393118	0.01
LTR/Gypsy?	7875	1471633	0.05
Simple_repeat	700455	38687958	1.21
DNA/TcMar	1851	292189	0.01
tRNA	2066	123631	0.00
RNA	762	123559	0.00
LINE/CR1	69667	12436107	0.39
DNA/TcMar-Pogo	37	4197	0.00
DNA/hAT?	2076	391120	0.01
LTR/ERV1	183377	89021720	2.77
DNA/TcMar-Tigger	129167	39255762	1.22
LTR?	8525	1721663	0.05
SINE/tRNA	2331	282150	0.01
Low_complexity	103244	6375073	0.20
unmasked	0	1600560448	49.87
